input_file	status	reason	input_cells	input_genes	kept_cells	output_file	kept_tissues	kept_development_stages	kept_diseases
01_construction_of_a_human_cell_landscape_at_single_cell_level.h5ad	written		599926	26069	7997	/gladstone/theodoris/lab/enockniyonkuru/maxtoki_development_data/source_1_cellxgene_heart_development_subset/01_construction_of_a_human_cell_landscape_at_single_cell_level_heart_development_subset.h5ad	heart	11th week post-fertilization stage; 12th week post-fertilization stage	normal
02_survey_of_human_embryonic_development_1_million_cells_subset.h5ad	written		1001288	45676	25092	/gladstone/theodoris/lab/enockniyonkuru/maxtoki_development_data/source_1_cellxgene_heart_development_subset/02_survey_of_human_embryonic_development_1_million_cells_subset_heart_development_subset.h5ad	heart	12th week post-fertilization stage; 13th week post-fertilization stage; 15th week post-fertilization stage; 16th week post-fertilization stage; 17th week post-fertilization stage	normal
03_survey_of_human_embryonic_development.h5ad	written		4062980	45676	101749	/gladstone/theodoris/lab/enockniyonkuru/maxtoki_development_data/source_1_cellxgene_heart_development_subset/03_survey_of_human_embryonic_development_heart_development_subset.h5ad	heart	12th week post-fertilization stage; 13th week post-fertilization stage; 15th week post-fertilization stage; 16th week post-fertilization stage; 17th week post-fertilization stage	normal
04_sex_specific_control_of_human_heart_maturation_by_the_progesterone_receptor.h5ad	written		51176	35477	26394	/gladstone/theodoris/lab/enockniyonkuru/maxtoki_development_data/source_1_cellxgene_heart_development_subset/04_sex_specific_control_of_human_heart_maturation_by_the_progesterone_receptor_heart_development_subset.h5ad	apical region of left ventricle	19th week post-fertilization stage; 20th week post-fertilization stage	normal
05_integrated_adult_and_foetal_hearts.h5ad	written		60668	26886	30889	/gladstone/theodoris/lab/enockniyonkuru/maxtoki_development_data/source_1_cellxgene_heart_development_subset/05_integrated_adult_and_foetal_hearts_heart_development_subset.h5ad	apex of heart; basal zone of heart	10th week post-fertilization stage; embryonic stage	normal
06_rotem_12w_heart_c1.h5ad	written		4992	35476	4992	/gladstone/theodoris/lab/enockniyonkuru/maxtoki_development_data/source_1_cellxgene_heart_development_subset/06_rotem_12w_heart_c1_heart_development_subset.h5ad	outflow tract myocardium	13th week post-fertilization stage	normal
07_rotem_12w_heart_b1.h5ad	written		4992	35476	4992	/gladstone/theodoris/lab/enockniyonkuru/maxtoki_development_data/source_1_cellxgene_heart_development_subset/07_rotem_12w_heart_b1_heart_development_subset.h5ad	outflow tract myocardium	13th week post-fertilization stage	normal
08_rotem_12w_heart_d1.h5ad	written		4992	35476	4992	/gladstone/theodoris/lab/enockniyonkuru/maxtoki_development_data/source_1_cellxgene_heart_development_subset/08_rotem_12w_heart_d1_heart_development_subset.h5ad	outflow tract myocardium	13th week post-fertilization stage	normal
09_rotem_12w_heart_a1.h5ad	written		4992	35476	4992	/gladstone/theodoris/lab/enockniyonkuru/maxtoki_development_data/source_1_cellxgene_heart_development_subset/09_rotem_12w_heart_a1_heart_development_subset.h5ad	outflow tract myocardium	13th week post-fertilization stage	normal
10_single_nuclei_rna_seq_human_outflow_tract_aortic_valve.h5ad	written		30125	31008	24695	/gladstone/theodoris/lab/enockniyonkuru/maxtoki_development_data/source_1_cellxgene_heart_development_subset/10_single_nuclei_rna_seq_human_outflow_tract_aortic_valve_heart_development_subset.h5ad	outflow tract myocardium	13th week post-fertilization stage; Carnegie stage 17	normal
